,latitude,longitude,image_name,country_code,country,continent,region,alpha-2,sub-region
0,20.82488495,-98.49951688,0.png,MX,Mexico,North America,Mexico,MX,Latin America and the Caribbean
1,-3.45175152,-54.56393669,1.png,BR,Brazil,South America,Brazil,BR,Latin America and the Caribbean
2,-23.49646371,-47.46054193,2.png,BR,Brazil,South America,Brazil,BR,Latin America and the Caribbean
3,-16.54867768,-72.85277758,3.png,PE,Peru,South America,Peru,PE,Latin America and the Caribbean
4,-35.01086957,140.0643972,4.png,AU,Australia,Oceania,Australia,AU,Australia and New Zealand
5,-14.22366709,-43.75370355,5.png,BR,Brazil,South America,Brazil,BR,Latin America and the Caribbean
6,38.06349662,32.59794981,6.png,TR,Turkey,Asia,Turkey,TR,Western Asia
7,-22.81322954,22.03515412,7.png,BW,Botswana,Africa,Botswana,BW,Sub-Saharan Africa
8,-11.71737961,-57.05230863,8.png,BR,Brazil,South America,Brazil,BR,Latin America and the Caribbean
9,-27.07860659,146.7192057,9.png,AU,Australia,Oceania,Australia,AU,Australia and New Zealand
10,46.71905466,9.459717888,10.png,CH,Switzerland,Europe,Switzerland,CH,Western Europe
11,16.2263944,-14.07406777,11.png,SN,Senegal,Africa,Senegal,SN,Sub-Saharan Africa
12,16.5252514,79.2460586,12.png,IN,India,Asia,India,IN,Southern Asia
13,-25.51086252,-63.00873004,13.png,AR,Argentina,South America,Argentina,AR,Latin America and the Caribbean
14,26.33348412,-102.6598057,14.png,MX,Mexico,North America,Mexico,MX,Latin America and the Caribbean
15,2.253234338,99.64904229,15.png,ID,Indonesia,Asia,Indonesia,ID,South-eastern Asia
16,55.60493952,124.9186252,16.png,RU,Russian Federation,Europe,Russian Federation,RU,Eastern Europe
17,-28.64395625,134.3537937,17.png,AU,Australia,Oceania,Australia,AU,Australia and New Zealand
18,0.000271325,40.38448656,18.png,KE,Kenya,Africa,Kenya,KE,Sub-Saharan Africa
19,-10.78139948,-38.357234,19.png,BR,Brazil,South America,Brazil,BR,Latin America and the Caribbean
20,44.08487932,111.1884431,20.png,MN,Mongolia,Asia,Mongolia,MN,Eastern Asia
21,-24.09338219,-50.35383822,21.png,BR,Brazil,South America,Brazil,BR,Latin America and the Caribbean
22,-39.71868496,-70.57281281,22.png,AR,Argentina,South America,Argentina,AR,Latin America and the Caribbean
23,54.43463978,36.36091837,23.png,RU,Russian Federation,Europe,Russian Federation,RU,Eastern Europe
24,-7.119905295,111.5604725,24.png,ID,Indonesia,Asia,Indonesia,ID,South-eastern Asia
25,-14.94045156,143.5541589,25.png,AU,Australia,Oceania,Australia,AU,Australia and New Zealand
26,46.96431593,91.45170002,26.png,MN,Mongolia,Asia,Mongolia,MN,Eastern Asia
27,41.84265812,33.73204022,27.png,TR,Turkey,Asia,Turkey,TR,Western Asia
28,-32.36562311,-66.93578981,28.png,AR,Argentina,South America,Argentina,AR,Latin America and the Caribbean
29,-33.07499177,-64.72527751,29.png,AR,Argentina,South America,Argentina,AR,Latin America and the Caribbean
30,46.46690779,19.61027161,30.png,HU,Hungary,Europe,Hungary,HU,Eastern Europe
31,-8.709749021,-69.55795021,31.png,BR,Brazil,South America,Brazil,BR,Latin America and the Caribbean
32,-33.91484881,-57.76251157,32.png,UY,Uruguay,South America,Uruguay,UY,Latin America and the Caribbean
33,37.41052793,40.84768713,33.png,TR,Turkey,Asia,Turkey,TR,Western Asia
34,1.215827407,34.73411179,34.png,UG,Uganda,Africa,Uganda,UG,Sub-Saharan Africa
35,-28.30400068,24.55413662,35.png,ZA,South Africa,Africa,South Africa,ZA,Sub-Saharan Africa
36,12.20986266,105.3137642,36.png,KH,Cambodia,Asia,Cambodia,KH,South-eastern Asia
