latitude,longitude,image_name,country_code,country,continent
20.82488495,-98.49951688,1.png,MX,Mexico,North America
-3.45175152,-54.56393669,2.png,BR,Brazil,South America
-23.49646371,-47.46054193,3.png,BR,Brazil,South America
-16.54867768,-72.85277758,4.png,PE,Peru,South America
-35.01086957,140.0643972,5.png,AU,Australia,Oceania
-14.22366709,-43.75370355,6.png,BR,Brazil,South America
38.06349662,32.59794981,7.png,TR,Turkey,Asia
-22.81322954,22.03515412,8.png,BW,Botswana,Africa
-11.71737961,-57.05230863,9.png,BR,Brazil,South America
-27.07860659,146.7192057,10.png,AU,Australia,Oceania
46.71905466,9.459717888,11.png,CH,Switzerland,Europe
16.2263944,-14.07406777,12.png,SN,Senegal,Africa
16.5252514,79.2460586,13.png,IN,India,Asia
-25.51086252,-63.00873004,14.png,AR,Argentina,South America
26.33348412,-102.6598057,15.png,MX,Mexico,North America
2.253234338,99.64904229,16.png,ID,Indonesia,Asia
55.60493952,124.9186252,17.png,RU,Russian Federation,Europe
-28.64395625,134.3537937,18.png,AU,Australia,Oceania
0.000271325,40.38448656,19.png,KE,Kenya,Africa
-10.78139948,-38.357234,20.png,BR,Brazil,South America
44.08487932,111.1884431,21.png,MN,Mongolia,Asia
-24.09338219,-50.35383822,22.png,BR,Brazil,South America
-39.71868496,-70.57281281,23.png,AR,Argentina,South America
54.43463978,36.36091837,24.png,RU,Russian Federation,Europe
-7.119905295,111.5604725,25.png,ID,Indonesia,Asia
-14.94045156,143.5541589,26.png,AU,Australia,Oceania
46.96431593,91.45170002,27.png,MN,Mongolia,Asia
41.84265812,33.73204022,28.png,TR,Turkey,Asia
-32.36562311,-66.93578981,29.png,AR,Argentina,South America
-33.07499177,-64.72527751,30.png,AR,Argentina,South America
46.46690779,19.61027161,31.png,HU,Hungary,Europe
-8.709749021,-69.55795021,32.png,BR,Brazil,South America
-33.91484881,-57.76251157,33.png,UY,Uruguay,South America
37.41052793,40.84768713,34.png,TR,Turkey,Asia
1.215827407,34.73411179,35.png,UG,Uganda,Africa
-28.30400068,24.55413662,36.png,ZA,South Africa,Africa
12.20986266,105.3137642,37.png,KH,Cambodia,Asia
-32.31093668,125.1562395,38.png,AU,Australia,Oceania
50.07412767,18.82259308,39.png,PL,Poland,Europe
-31.88003046,141.7919382,40.png,AU,Australia,Oceania
42.29721959,24.92379086,41.png,BG,Bulgaria,Europe
-37.78817006,144.2142406,42.png,AU,Australia,Oceania
-18.1015108,135.6636376,43.png,AU,Australia,Oceania
8.872528612,11.41777784,44.png,NG,Nigeria,Africa
0.61424489,39.23578178,45.png,KE,Kenya,Africa
-47.66708386,-67.99612516,46.png,AR,Argentina,South America
51.21399069,34.11921872,47.png,UA,Ukraine,Europe
-25.86926098,143.3897193,48.png,AU,Australia,Oceania
65.78097231,45.03256739,49.png,RU,Russian Federation,Europe
-21.97059913,133.4859638,50.png,AU,Australia,Oceania
-0.908052928,-60.51686807,51.png,BR,Brazil,South America
-33.74513013,24.63639357,52.png,ZA,South Africa,Africa
-18.22216565,142.8091744,53.png,AU,Australia,Oceania
-11.55804735,-51.02835867,54.png,BR,Brazil,South America
-36.49550658,-60.79786056,55.png,AR,Argentina,South America
-10.05753479,-67.96381212,56.png,BR,Brazil,South America
-38.34482905,-68.53479239,57.png,AR,Argentina,South America
-34.69906513,150.6869225,58.png,AU,Australia,Oceania
47.44302153,109.7139337,59.png,MN,Mongolia,Asia
-0.6317656,114.5728442,60.png,ID,Indonesia,Asia
61.31526074,13.17819543,61.png,SE,Sweden,Europe
-24.94086411,-51.8722132,62.png,BR,Brazil,South America
-13.32046327,-46.57150539,63.png,BR,Brazil,South America
45.28486938,19.13481545,64.png,HR,Croatia,Europe
7.008317748,-1.135487356,65.png,GH,Ghana,Africa
53.94779355,-7.368339321,66.png,IE,Ireland,Europe
-31.56551477,23.26475001,67.png,ZA,South Africa,Africa
62.26787276,71.5740811,68.png,RU,Russian Federation,Europe
52.7673824,15.70489913,69.png,PL,Poland,Europe
-10.13769629,-38.29619025,70.png,BR,Brazil,South America
19.16703741,-90.22266794,71.png,MX,Mexico,North America
-17.28613568,-47.72384443,72.png,BR,Brazil,South America
45.70617391,113.6875534,73.png,MN,Mongolia,Asia
