<<<<<<< HEAD
﻿Image Name,Analysis Result
roi_0_0.jpeg,"[""Sky"", ""Road"", ""Soil"", ""Tree"", ""Vegetation"", ""Mountain"", ""Field"", ""Bush""]
"
roi_10006_0.jpeg,"[""House"", ""Building"", ""Car"", ""Vehicle"", ""Road"", ""Tree"", ""Vegetation"", ""Bush"", ""Sky"", ""Mountain"", ""Fence"", ""Person"", ""Soil""]
"
roi_10009_0.jpeg,"[""Vegetation"", ""Wall"", ""Soil"", ""Bush""]"
roi_10009_1.jpeg,"[""Sky""]"
roi_10009_2.jpeg,"[""Sky""]
"
roi_10009_3.jpeg,"[""Sky"", ""Mountain""]
"
roi_10011_0.jpeg,"[""Sky"", ""Tree"", ""Vegetation"", ""Building"", ""House"", ""Pole"", ""Powerline"", ""Road"", ""Bush""]
"
roi_10012_0.jpeg,"[""Soil"", ""Vegetation"", ""Bush""]
"
roi_10012_1.jpeg,"[""Nothing""]"
roi_10012_2.jpeg,"[""Vegetation"", ""Field"", ""Bush"", ""Mountain""]
"
roi_10012_3.jpeg,"[""Nothing""]
"
roi_10013_0.jpeg,"[""Nothing""]
"
roi_10013_1.jpeg,"[""Vegetation"", ""House"", ""Building"", ""Mountain""]
"
roi_10013_2.jpeg,"[""Building"", ""Vegetation"", ""Bush"", ""Wall""]
"
roi_10013_3.jpeg,"[""Sky"", ""Powerline"", ""Vegetation"", ""Bush""]
"
roi_10023_0.jpeg,"[""Text"", ""Vegetation""]
"
roi_10023_1.jpeg,"[""Tree"", ""Sky"", ""Vegetation""]"
roi_10025_0.jpeg,"[""Nothing""]
"
roi_10025_1.jpeg,"[""Building"", ""Vegetation"", ""Bush""]"
roi_10025_2.jpeg,"[""Nothing""]
"
roi_10025_3.jpeg,"[""Nothing""]
"
roi_10028_0.jpeg,"[""Vegetation"", ""Bush""]
"
roi_10028_1.jpeg,"[""Vegetation""]
"
roi_10028_2.jpeg,"[""Vegetation""]"
roi_10030_0.jpeg,"[""Nothing""]"
roi_10030_1.jpeg,"[""Nothing""]
"
roi_10030_2.jpeg,"[""Sky"", ""Vegetation"", ""Bush""]
"
roi_10030_3.jpeg,"[""Nothing""]
"
roi_10030_4.jpeg,"[""Sky"", ""Mountain""]
"
roi_10035_0.jpeg,"[""Nothing""]
"
roi_10035_1.jpeg,"[""Road"", ""Roadmark"", ""Soil"", ""Vegetation"", ""Bush""]
"
roi_10035_2.jpeg,"[""Soil"", ""Vegetation"", ""Bush"", ""Rocks""]
"
roi_10035_3.jpeg,"[""Nothing""]"
roi_10035_4.jpeg,"[""Tree"", ""Vegetation"", ""Bush""]
"
roi_10040_0.jpeg,"[""Nothing""]
"
roi_10040_1.jpeg,"[""Sky"", ""Pole"", ""Mountain"", ""Vegetation""]
"
roi_10040_2.jpeg,"[""Sky""]
"
roi_10041_0.jpeg,"[""Nothing""]"
roi_10041_1.jpeg,"[""Building"", ""House"", ""Sky"", ""Wall"", ""Road"", ""Sign"", ""Vegetation""]
"
roi_10041_2.jpeg,"[""Nothing""]
"
roi_10043_0.jpeg,"[""Nothing""]
"
roi_10043_1.jpeg,"[""Soil"", ""Text""]
"
roi_10043_2.jpeg,"[""Nothing""]
"
roi_10043_3.jpeg,"[""Nothing""]
"
roi_10043_4.jpeg,"[""Sky"", ""Road"", ""Tree"", ""Vegetation"", ""Pole"", ""Bush"", ""House"", ""Building""]
"
roi_10043_5.jpeg,"[""Vegetation"", ""Bush"", ""Tree""]
"
roi_10044_0.jpeg,"[""Vegetation"", ""Bush"", ""Soil""]
"
roi_10047_0.jpeg,"[""Body of water"", ""Vehicle""]
"
roi_10047_1.jpeg,"[""Nothing""]
"
roi_10047_2.jpeg,"[""Nothing""]
"
roi_10054_0.jpeg,"[""Nothing""]
"
roi_10054_1.jpeg,"[""Vegetation"", ""Tree"", ""Bush""]
"
roi_10054_2.jpeg,"[""Sky"", ""Mountain""]
"
roi_10057_0.jpeg,"[""Road"", ""Soil"", ""Vegetation"", ""Shadow of a car""]
"
roi_10058_0.jpeg,"[""Nothing""]
"
roi_10058_1.jpeg,"[""Vegetation"", ""Bush""]
"
roi_10058_2.jpeg,"[""Vegetation"", ""Tree"", ""Rocks"", ""Soil"", ""Bush""]
"
roi_10058_3.jpeg,"[""Sky"", ""Tree"", ""Vegetation"", ""Road"", ""Soil""]
"
roi_10066_0.jpeg,"[""Sky"", ""Tree"", ""Vegetation"", ""Pole""]
"
roi_10073_0.jpeg,"[""Vegetation"", ""Text""]
"
roi_10075_0.jpeg,"[""Nothing""]"
roi_10075_1.jpeg,"[""Nothing""]
"
roi_10077_0.jpeg,"[""Soil"", ""Vegetation""]
"
roi_10077_1.jpeg,"[""Vegetation"", ""Bush"", ""Road"", ""Roadmark"", ""Soil""]
"
roi_10077_2.jpeg,"[""Car"", ""Vehicle"", ""Road"", ""Tree"", ""Vegetation"", ""Bush""]
"
roi_10077_3.jpeg,"[""Tree"", ""Vegetation"", ""Sky""]
"
roi_10077_4.jpeg,"[""Tree"", ""Vegetation""]
"
roi_10077_5.jpeg,"[""Sky"", ""Nothing""]
"
roi_10078_0.jpeg,"[""Road"", ""Roadmark"", ""Text""]
"
roi_10078_1.jpeg,"[""Vegetation"", ""Bush""]
"
roi_10080_0.jpeg,"[""Vegetation"", ""Soil"", ""Road"", ""Car"", ""Wheel""]
"
roi_10080_1.jpeg,"[""Sky"", ""Building""]
"
roi_1008_0.jpeg,"[""Road"", ""Roadmark""]
"
roi_1008_1.jpeg,"[""Nothing""]
"
roi_10095_0.jpeg,"[""Nothing""]
"
roi_10095_1.jpeg,"[""Nothing""]
"
roi_10095_2.jpeg,"[""Pole"", ""Building"", ""Soil"", ""Vegetation""]
"
roi_10095_3.jpeg,"[""Building"", ""House"", ""Text"", ""Vegetation""]
"
roi_10097_0.jpeg,"[""Nothing""]
"
roi_10097_1.jpeg,"[""Sky"", ""Nothing""]
"
roi_10098_0.jpeg,"[""Vehicle"", ""Vegetation"", ""Soil""]
"
roi_10098_1.jpeg,"['Road', 'Vegetation', 'Bush', 'Shadow of a car', 'Soil']
"
roi_10098_2.jpeg,"[""Nothing""]
"
roi_10099_0.jpeg,"[""Vegetation"", ""Road"", ""Soil""]
"
roi_10099_1.jpeg,"[""Vegetation"", ""Soil"", ""Bush""]
"
roi_10099_2.jpeg,"[""Sky"", ""Field"", ""Vegetation"", ""Road"", ""Tree""]
"
roi_10105_0.jpeg,"[""Vegetation"", ""Text""]
"
roi_10105_1.jpeg,"[""Vegetation""]
"
roi_10105_2.jpeg,"[""Sky"", ""Field"", ""Vegetation"", ""Bush""]
"
roi_10105_3.jpeg,"[""Sky"", ""Field"", ""Vegetation""]
"
roi_10105_4.jpeg,"[""Sky""]
"
roi_10105_5.jpeg,"[""Sky"", ""Clouds""]
"
roi_10112_0.jpeg,"[""Road"", ""Soil"", ""Vegetation"", ""Bush"", ""Roadmark"", ""Text""]
"
roi_10112_1.jpeg,"[""Tree"", ""Vegetation"", ""Sky""]
"
roi_10112_2.jpeg,"[""Tree"", ""Vegetation""]
"
roi_10116_0.jpeg,"[""Nothing""]
"
roi_10116_1.jpeg,"[""Nothing""]
"
roi_10116_2.jpeg,"[""Nothing""]
"
roi_10116_3.jpeg,"[""Nothing""]
"
